abseil-cpp 20240722.0-1
noto-fonts-cjk 20230817-2
npm 10.9.0-1
npth 1.7-1
nspr 4.36-1
nss 3.106-1
ntfs-3g 2022.10.3-1
nvim-packer-git r574.ea0cc3c-1
nvm 0.40.1-1
ocl-icd 2.3.2-2
oniguruma 6.9.9-1
openal 1.24.0-1
opencore-amr 0.1.6-2
openexr 3.3.2-1
openjpeg2 2.5.2-1
openssh 9.9p1-2
openssl 3.4.0-1
openvpn 2.6.12-1
opus 1.5.2-1
orc 0.4.40-1
otf-firamono-nerd 3.2.1-2
p11-kit 0.25.5-1
pacman 7.0.0.r3.g7736133-1
pacman-contrib 1.10.6-2
pacman-mirrorlist 20240717-1
pam 1.6.1-3
pambase 20230918-2
pamixer 1.6-3
pango 1:1.54.0-1
pangomm 2.46.4-1
papirus-icon-theme 20240501-1
parted 3.6-2
paru-debug 2.0.3-1
paru-git 2.0.3.rebuild.1.r1.g90656a9-1
paru-git-debug 2.0.3.rebuild.1.r1.g90656a9-1
patch 2.7.6-10
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.44-1
pcsclite 2.3.0-1
pdfcrack 0.20-2
perl 5.40.0-1
perl-error 0.17029-7
perl-mailtools 2.21-9
perl-timedate 2.33-7
pfetch 1.6.0-1
physlock 13-5
picom 12.5-1
pinentry 1.3.1-5
pipewire 1:1.2.6-1
pipewire-alsa 1:1.2.6-1
pipewire-audio 1:1.2.6-1
pipewire-jack 1:1.2.6-1
pipewire-pulse 1:1.2.6-1
pipewire-session-manager 1:1.2.6-1
pixman 0.44.0-1
pkcs11-helper 1.30.0-1
pkgconf 2.1.1-1
playerctl 2.4.1-4
polkit 125-1
polkit-gnome 0.105-11
polybar 3.7.2-2
poppler 24.11.0-2
poppler-data 0.4.12-2
poppler-glib 24.11.0-2
popt 1.19-2
portaudio 1:19.7.0-3
procps-ng 4.0.4-3
psmisc 23.7-1
python 3.12.7-1
python-attrs 23.2.0-3
python-cffi 1.17.1-1
python-cryptography 42.0.8-1
python-dbus 1.3.2-4
python-docopt 0.6.2-13
python-filelock 3.16.1-1
python-gobject 3.50.0-1
python-packaging 24.2-1
python-pillow 11.0.0-1
python-pip 24.3.1-1
python-prctl 1.8.1-6
python-pycparser 2.22-2
python-wheel 0.45.0-1
python39 3.9.20-1
qrencode 4.1.1-3
qt5-base 5.15.15+kde+r141-1
qt5-declarative 5.15.15+kde+r25-1
qt5-multimedia 5.15.15+kde+r2-1
qt5-speech 5.15.15+kde+r1-1
qt5-svg 5.15.15+kde+r5-1
qt5-translations 5.15.15-1
qt5-wayland 5.15.15+kde+r60-1
qt5-x11extras 5.15.15-1
qt6-5compat 6.8.0-1
qt6-base 6.8.0-1
qt6-multimedia 6.8.0-2
qt6-multimedia-ffmpeg 6.8.0-2
qt6-shadertools 6.8.0-1
qt6-svg 6.8.0-1
qt6-translations 6.8.0-1
r-quick-share-bin 0.11.2-1
ranger 1.9.4-1
raptor 2.0.16-5
rasqal 1:0.9.33-7
rav1e 0.7.1-1
readline 8.2.013-1
redland 1:1.0.17-9
reflector 2023-2
rhash 1.4.4-1
ripgrep 14.1.1-1
rofi 1.7.5-3
rtkit 0.13-3
rubberband 4.0.0-1
runc 1.2.2-1
rustup 1.27.1-1
sassc 3.6.2-5
sbc 2.0-2
sbctl 0.16-1
sdl2 2.30.9-1
seahorse 1:47.0.1-2
sed 4.9-3
semver 7.6.3-1
serd 0.32.2-1
shaderc 2024.2-1
shadow 4.16.0-1
shared-mime-info 2.4-1
slack-desktop 4.41.97-1
slang 2.3.3-3
snappy 1.2.1-2
sof-firmware 2024.09.1-1
sord 0.16.16-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-13
spandsp 0.0.6-5
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 2024.2-1
spotify 1:1.2.48.405-1
sqlite 3.46.1-1
sratom 0.6.16-1
srt 1.5.4-1
starship 1.21.1-1
startup-notification 0.12-8
sudo 1.9.16.p1-1
svt-av1 2.2.1-1
sxhkd 0.6.2-4
systemd 256.8-1
systemd-libs 256.8-1
systemd-sysvcompat 256.8-1
taglib 2.0.2-1
tar 1.35-2
tcl 8.6.14-4
tdb 1.4.12-1
tdrop-git 0.5.0.r18.g63735e2-1
terraform 1.9.8-1
tesseract 5.5.0-1
tesseract-data-afr 2:4.1.0-4
tesseract-data-osd 2:4.1.0-4
texinfo 7.1.1-1
tinysparql 3.8.0-1
tmux 3.5_a-1
tokyonight-gtk-theme-git r79.4dc45d60-1
tpm2-tss 4.1.3-1
traceroute 2.1.5-1
tree-sitter 0.24.3-1
tree-sitter-bash 0.23.1-1
tree-sitter-c 0.23.1-1
tree-sitter-lua 0.2.0-1
tree-sitter-markdown 0.3.1-1
tree-sitter-python 0.23.2-1
tree-sitter-query 0.4.0-1
tree-sitter-vim 0.4.0-1
tree-sitter-vimdoc 3.0.0-1
tslib 1.23-1
ttf-fira-code 6.2-2
ttf-inconsolata 1:3.000-4
ttf-jetbrains-mono 2.304-2
ttf-jetbrains-mono-nerd 3.2.1-2
ttf-joypixels 8.0.0-2
ttf-liberation 2.1.5-2
ttf-terminus-nerd 3.2.1-2
tumbler 4.18.2-3
twolame 0.4.0-4
tzdata 2024b-2
uchardet 0.0.8-3
udisks2 2.10.1-5
ueberzug 18.3.0-2
unibilium 2.1.1-2
unrar 1:7.1.1-1
unzip 6.0-21
upower 1.90.6-1
usb_modeswitch 2.6.1-4
usbutils 018-1
util-linux 2.40.2-1
util-linux-libs 2.40.2-1
v4l-utils 1.28.1-1
vapoursynth R70-1
vid.stab 1.1.1-2
vim 9.1.0866-1
vim-copilot-git 1.41.0.r0.g8703812-1
vim-runtime 9.1.0866-1
visual-studio-code-bin 1.95.3-1
vmaf 3.0.0-1
volume_key 0.3.12-9
vulkan-headers 1:1.3.295-1
vulkan-icd-loader 1.3.295-1
wavpack 5.7.0-1
wayland 1.23.1-1
webkit2gtk 2.46.3-1
webp-pixbuf-loader 0.2.7-1
webrtc-audio-processing-1 1.3-3
wget 1.25.0-1
which 2.21-6
wildmidi 0.4.6-1
wireplumber 0.5.6-1
wireshark-cli 4.4.1-1
wireshark-qt 4.4.1-1
woff2 1.0.2-5
wpa_supplicant 2:2.11-2
wxwidgets-common 3.2.6-1
wxwidgets-gtk3 3.2.6-1
x264 3:0.164.r3108.31e19f9-2
x265 4.0-1
xapp 2.8.5-1
xcb-proto 1.17.0-2
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcb-util-xrm 1.3-3
xdg-dbus-proxy 0.1.6-1
xdg-user-dirs 0.18-2
xdg-utils 1.2.1-1
xdo 0.5.7-3
xdotool 3.20211022.1-2
xf86-input-libinput 1.5.0-1
xkeyboard-config 2.43-1
xmlsec 1.3.6-1
xorg-fonts-encodings 1.1.0-1
xorg-server 21.1.14-1
xorg-server-common 21.1.14-1
xorg-setxkbmap 1.3.4-2
xorg-xauth 1.1.3-1
xorg-xdpyinfo 1.3.4-2
xorg-xinit 1.4.2-2
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.4.7-1
xorg-xkill 1.0.6-2
xorg-xmodmap 1.0.11-2
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xrdb 1.2.2-2
xorg-xset 1.2.5-2
xorg-xsetroot 1.1.3-2
xorg-xwininfo 1.1.6-2
xorgproto 2024.1-2
xqp 0.1-2
xsel 1.2.1-2
xvidcore 1.3.7-3
xxhash 0.8.2-1
xz 5.6.3-1
yajl 2.1.0-6
zathura 0.5.8-1
zathura-pdf-poppler 0.3.3-1
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zix 0.4.2-2
zlib 1:1.3.1-2
zstd 1.5.6-1
zxing-cpp 2.2.1-1
zziplib 0.13.78-1
